User,Text,Date,Retweets,Favorites
,,,,
SpeakerRyan,"RT @RepDaveJoyce: We must pass #CuresNow to catalyze cutting-edge #research &amp; personalized #medicine https://t.co/dsJFHYby08","Wed Nov 30 22:01:09 +0000 2016",12,0
SpeakerRyan,"RT @RepBuddyCarter: There are 10,000 known diseases, but we only have treatments for 500. 21st Century Cures will close this gap. Proud to…","Wed Nov 30 21:41:36 +0000 2016",14,0
SpeakerRyan,"RT @RepMcSally: A #BetterWay forward in medical innovation means passing legislation that brings dependable solutions to people &amp; families…","Wed Nov 30 21:10:38 +0000 2016",18,0
SpeakerRyan,"RT @RepLanceNJ7: As co-chair of the Rare Disease Caucus I know #CuresNow will bring hope to those struggling with rare diseases. https://t.…","Wed Nov 30 20:53:15 +0000 2016",11,0
SpeakerRyan,"RT @RepKevinYoder: If we support #CuresNow, we will not only save lives, but our investment will pay for itself one thousand times over. ht…","Wed Nov 30 20:43:39 +0000 2016",28,0
SpeakerRyan,"RT @PatrickMcHenry: Credit to @HouseCommerce for their hard work on #CuresAct. Learn more about this vital legislation here--&gt; https://t.co…","Wed Nov 30 20:25:05 +0000 2016",10,0
SpeakerRyan,"RT @RepMullin: It's time to support a real plan to encourage scientific collaboration to more quickly find life-saving cures. #CuresNow @Ho…","Wed Nov 30 20:07:33 +0000 2016",14,0
SpeakerRyan,"RT @RepHartzler: It's time for a real plan to encourage scientific collaboration to more quickly find life-saving cures. #CuresNow does tha…","Wed Nov 30 20:01:26 +0000 2016",38,0
SpeakerRyan,"RT @RepStefanik: 21st Century Cures improves our mental health care system for the millions of Americans that have serious mental illness…","Wed Nov 30 19:44:48 +0000 2016",8,0
SpeakerRyan,"RT @MarshaBlackburn: The 21st Century Cures Act will help personalize medicine to find the best treatments for patients. #CuresNow","Wed Nov 30 19:24:32 +0000 2016",43,0
SpeakerRyan,"RT @RepLynnJenkins: Today @HouseGOP will vote on #CuresNow, legislation that includes three of my bills - this act will help healthcare of…","Wed Nov 30 19:10:04 +0000 2016",38,0
SpeakerRyan,"RT @RepMeehan: 21st Century Cures Act will help us break down barriers standing in the way of curing diseases that affect millions of Ameri…","Wed Nov 30 18:54:28 +0000 2016",20,0
SpeakerRyan,"Later today, Congress will finally set the stage for real #MentalHealthReform. https://t.co/taJb77pv2C #CuresNow","Wed Nov 30 18:38:52 +0000 2016",62,141
SpeakerRyan,"RT @RepComstock: Passing the bipartisan 21st Century Cures Act today will help America be a world leader in medical innovation. #CuresNow #…","Wed Nov 30 18:34:41 +0000 2016",25,0
SpeakerRyan,"RT @RepKevinYoder: #CuresNow provides NIH $4.8B and FDA $500M in new funding over the next decade  fully paid for without adding to the Nat…","Wed Nov 30 18:30:01 +0000 2016",19,0
SpeakerRyan,"RT @MarioDB: Today, the House considers 21st Century Cures bill to update #healthcare infrastructure + deliver hope for patients + families…","Wed Nov 30 18:04:31 +0000 2016",29,0
SpeakerRyan,"RT @RepKevinYoder: Treating cancer expected to cost $200B per year by 2020. Treating Alzheimer's $1T annually by 2050. #CuresNow could wipe…","Wed Nov 30 17:44:04 +0000 2016",41,0
SpeakerRyan,"RT @RepHartzler: Get the facts on the 21st Century Cures Act &gt;&gt; https://t.co/C6BnJPzvo1  #CuresNow https://t.co/55pd2NpUVe","Wed Nov 30 17:27:34 +0000 2016",23,0
SpeakerRyan,"Great news → The #CuresAct includes @RepTimMurphy's legislation to reform our mental health system. #CuresNow https://t.co/1fya6yC0jF","Wed Nov 30 17:02:27 +0000 2016",115,325
SpeakerRyan,"#CuresNow means we won't give up on anybody. No matter how dire the situation, there can &amp; should always be hope. https://t.co/noFisRyNVq","Wed Nov 30 16:39:11 +0000 2016",45,137
SpeakerRyan,"RT @RepMimiWalters: The 21st Century Cures Act is a part of our #BetterWay agenda. The House will vote on it today, because it's time for #…","Wed Nov 30 16:36:21 +0000 2016",28,0
SpeakerRyan,"I am excited to get to work with @realDonaldTrump and his strong economic team.
 
My full statement ↓ https://t.co/tNhbtfH2Yj","Wed Nov 30 15:29:07 +0000 2016",93,375
SpeakerRyan,"We are excited to bring a final, bipartisan version of the 21st Century #CuresAct to the House floor today.… https://t.co/AMm6zvYmls","Wed Nov 30 15:11:54 +0000 2016",73,220
SpeakerRyan,"HAPPENING NOW: Our weekly @HouseGOP press briefing. https://t.co/BGYFjd4wJk","Wed Nov 30 15:04:58 +0000 2016",18,43
