User,Text,Date,Retweets,Favorites
,,,,
jack,"Wow this is so great #MannequinChallenge","Sat Nov 05 21:07:52 +0000 2016",77,221
jack,"RT @rsa: Our beautiful office in SoHo: https://t.co/N78v3TTjv1","Sat Nov 05 20:09:18 +0000 2016",15,0
jack,"RT @washingtonpost: Wikipedia editors are essentially writing the election guide millions of voters will read  https://t.co/A4a5tNuWhz http…","Sat Nov 05 14:37:54 +0000 2016",107,0
jack,"RT @chancetherapper: Also my concert on Monday I'm taking selfies with voters. I suggest you don't wear a hat so we can use the #StayWokeAn…","Sat Nov 05 12:21:08 +0000 2016",904,0
jack,"RT @jikpapa: Spent my AM exercising the right those before me marched, cried, bled and died for. I vote in their homage. #MakeItCount #IVot…","Sat Nov 05 12:20:47 +0000 2016",26,0
jack,"RT @repjohnlewis: I’ve marched, protested, been beaten and arrested--all for the right to vote. Friends of mine gave their lives. Honor the…","Fri Nov 04 22:04:32 +0000 2016",45036,0
jack,"RT @DrTGIF: YASSSSSSSSSSSSSSSSSSSSSSS

⚡️ “Dave Chappelle to host first post-election episode of SNL”

https://t.co/XfDpcVrM4B","Fri Nov 04 20:59:35 +0000 2016",180,0
jack,"RT @ComplexMag: .@chancetherapper is hosting a free Chicago concert to encourage fans to vote: https://t.co/GNDnKLMAxZ https://t.co/uOS2AbL…","Fri Nov 04 20:59:02 +0000 2016",549,0
jack,"RT @periscopetv: #ElectionDay is around the corner! Broadcast w. a @HillaryClinton or @realdonaldtrump mask &amp; remember to #GoVote 🇺🇸
https:…","Fri Nov 04 16:40:15 +0000 2016",116,0
jack,"RT @AlabedBana: مباشر على #Periscope I am reading this short story for you tonight, please watch. - Bana #Aleppo https://t.co/jXwSQsCYmy","Fri Nov 04 05:43:14 +0000 2016",310,0
jack,"RT @GioiasDeli: Back to using @Square the easiest and best payment/software company we have ever used.  They have an office in #stl https:/…","Thu Nov 03 18:25:23 +0000 2016",11,0
jack,"RT @BleacherReport: When your 81-year-old grandpa has been waiting for this moment his whole life #AllTheFeels (via @_claremoser) https://t…","Thu Nov 03 15:50:11 +0000 2016",11684,0
jack,"RT @TwitterSports: The most Tweeted @MLB game &amp; #WorldSeries ever. That &amp; more in our @Cubs v. @Indians recap #FlyTheW #RallyTogether 

htt…","Thu Nov 03 15:44:07 +0000 2016",143,0
jack,"RT @Money23Green: Man 3-1 sucks","Thu Nov 03 05:21:09 +0000 2016",125778,0
jack,"RT @CauldronICYMI: The joy on Bill Murray's face https://t.co/veA2lzSU35","Thu Nov 03 05:18:38 +0000 2016",6119,0
jack,"RT @120Sports: Michael Lee, you are a LEGEND.

btw, this is a 1993 yearbook (via @tommydale33) https://t.co/oddtm1mpY7","Thu Nov 03 05:15:16 +0000 2016",594,0
jack,"RT @fmanjoo: This is how you write a newspaper story https://t.co/OYameGpAJA https://t.co/cUs0Love2U","Thu Nov 03 05:14:48 +0000 2016",2578,0
jack,"RT @literallydyings: Are you ok? https://t.co/CdapudwqQL","Thu Nov 03 04:41:24 +0000 2016",24,0
jack,"RT @dickc: I'm watching this stupid movie on Fox where 2 teams that haven't won in years play to a tie in the championship &amp; then it rains…","Thu Nov 03 04:11:48 +0000 2016",261,0
jack,"RT @Adam_Abramson1: This is why I love sports Twitter https://t.co/EE2Ey1nSTQ","Thu Nov 03 04:11:12 +0000 2016",1601,0
jack,"RT @nelson: I think the political analogy baseball fans are looking for is Bush Gore 2000.","Thu Nov 03 04:09:58 +0000 2016",15,0
jack,"RT @Taylorjowens23: When I saw them roll out that tarp in the #WorldSeries 
https://t.co/aH3GF1MkRv","Thu Nov 03 04:09:16 +0000 2016",327,0
jack,"Whoa https://t.co/W8Uhbf9mVi","Thu Nov 03 04:06:58 +0000 2016",76,319
jack,"RT @Snowden: #WorldSeries https://t.co/dw4pIxNbyt","Thu Nov 03 04:01:50 +0000 2016",1883,0
jack,"Great update. So much faster https://t.co/eIKzlrQaj0","Wed Nov 02 22:29:06 +0000 2016",47,188
jack,"@ericfranchi @adambain thx!","Wed Nov 02 21:32:09 +0000 2016",0,11
jack,"RT @ericfranchi: Twitter highlights is 🔥. I was back to back meetings all day. Got all the important stuff in a swipe and scan. Good work @…","Wed Nov 02 21:32:03 +0000 2016",31,0
jack,"@mcnees @Support not sure how this got past us. Fixed (and thanks for reporting)","Wed Nov 02 20:36:51 +0000 2016",64,241
jack,"@dangillmor @mcnees @Support fixed","Wed Nov 02 20:36:09 +0000 2016",4,11
jack,"@stephgrimes @twitter @safety @cwarzel @BuzzFeedNews fixed","Wed Nov 02 20:36:00 +0000 2016",1,0
jack,"@NathanHChan never said this (but seems like good advice)","Wed Nov 02 20:35:46 +0000 2016",0,9
jack,"@cwarzel not sure how this slipped past us, but now it's fixed","Wed Nov 02 20:33:56 +0000 2016",13,38
jack,"Vote! #IVoted https://t.co/7kb6NVwHeJ","Wed Nov 02 16:12:57 +0000 2016",42,133
jack,"Hillary Smith joins Square as our GC!  https://t.co/Xp3E8G7sPL","Wed Nov 02 14:36:33 +0000 2016",19,93
jack,"@kayvz 🙄","Tue Nov 01 06:12:09 +0000 2016",2,50
jack,"RT @tashmahal: This photo is, as far as I'm concerned, the single greatest photo of any president or premier of any country, ever. https://…","Tue Nov 01 01:21:19 +0000 2016",18999,0
jack,"RT @nytimesarts: As a gay black man, the composer Julius Eastman is a minority in the Minimalist canon. https://t.co/613IaOYL1q https://t.c…","Tue Nov 01 00:33:50 +0000 2016",38,0
jack,"RT @twitter: What's Happening
https://t.co/a0WSI52OuH https://t.co/7gpXqUrqXJ","Mon Oct 31 23:29:27 +0000 2016",364,0
jack,"RT @latimes: Among LA's homeless, Blacks are the largest racial or ethnic group. Only 8% of the county’s population is black. https://t.co/…","Sun Oct 30 17:35:30 +0000 2016",756,0
jack,"RT @StephenCurry30: Lock In! #DubNation","Sat Oct 29 01:06:41 +0000 2016",6098,0
jack,"""This is slavery."" U.S. inmates strike https://t.co/8aOda5AfAw","Fri Oct 28 21:01:33 +0000 2016",216,312
jack,"RT @SquareCanada: Celebrating our four year anniversary today. Thank you, Canada! https://t.co/qjhp571ZP6","Mon Oct 24 17:53:43 +0000 2016",55,0
jack,"RT @NASAClimate: September 2016 was the warmest on record. Global average atmospheric CO2 concentration was ~404 ppm. #globalwarming https:…","Sat Oct 22 18:52:03 +0000 2016",1553,0
jack,"Voting https://t.co/lBCTsmhJzg","Sat Oct 22 17:54:07 +0000 2016",86,514
jack,"So amazing and cool that this was done all from a phone https://t.co/NTb5SVUHY9","Fri Oct 21 00:30:57 +0000 2016",41,181
jack,"RT @jckasman: Watching the new @chancetherapper video like https://t.co/RxPptj52Nq","Fri Oct 21 00:29:13 +0000 2016",2339,0
jack,"RT @jmsSanFran: Miss Jackson ⚡️ “Janet Jackson soars to the top on Spotify after debate ”

https://t.co/9Px1Y8TWYX","Fri Oct 21 00:28:41 +0000 2016",29,0
jack,"RT @twitter: Game time! 🙌

Tonight's #TNF matchup between the @ChicagoBears and @packers is streaming LIVE on Twitter. 👇
https://t.co/eCsgy…","Fri Oct 21 00:27:27 +0000 2016",211,0
