User,Text,Date,Retweets,Favorites
,,,,
realDonaldTrump,"Thank you Reno, Nevada. 
NOTHING will stop us in our quest to MAKE AMERICA SAFE AND GREAT AGAIN! #AmericaFirst… https://t.co/A4eeHoCbGS","Sun Nov 06 02:03:20 +0000 2016",9288,21107
realDonaldTrump,"Join me live in Reno, Nevada!
https://t.co/T4bf1hrxaA https://t.co/EPqRXHa1CM","Sun Nov 06 00:20:16 +0000 2016",2919,9678
realDonaldTrump,"JOIN ME TOMORROW!
MINNESOTA • 2pm
https://t.co/WcgLh4prS7

MICHIGAN • 6pm
https://t.co/9BqGVKNNrt

VIRGINIA • 9:30p… https://t.co/A1oVhCrT6t","Sun Nov 06 00:19:18 +0000 2016",3977,9472
realDonaldTrump,"#DrainTheSwamp!
https://t.co/z68vGp9Bvf","Sat Nov 05 21:46:34 +0000 2016",7093,13836
realDonaldTrump,"Top Clinton Aides Bemoan Campaign ‘All Tactics,’ No Vision: https://t.co/mHYvQtIq78","Sat Nov 05 21:39:44 +0000 2016",5354,10505
realDonaldTrump,"‘Must Act Immediately’: Clinton Charity Lawyer Told Execs They Were Breaking The Law
https://t.co/hsi4qhqTV1","Sat Nov 05 21:38:01 +0000 2016",8493,13647
realDonaldTrump,"Watch Coach Mike Ditka- a great guy and supporter tonight at 8pmE on #WattersWorld with @jessebwatters @FoxNews.","Sat Nov 05 21:27:32 +0000 2016",5050,13992
realDonaldTrump,"Thank you Wilmington, North Carolina. We are 3 days away from the CHANGE you've been waiting for your entire life!… https://t.co/6ZJZRBfLST","Sat Nov 05 20:13:34 +0000 2016",7792,21348
realDonaldTrump,"Thank you for the incredible support this morning Tampa, Florida! #ICYMI- watch here: https://t.co/q43kHf7MoE https://t.co/1GscFNaV4L","Sat Nov 05 20:06:21 +0000 2016",6184,16718
realDonaldTrump,"Join me in Denver, Colorado tonight at 9:30pm: https://t.co/LJYGIK7Mri

NEW- Scranton, Pennsylvania Monday @ 5:30pm: https://t.co/BcErCtsPdF","Sat Nov 05 16:45:05 +0000 2016",5211,13399
realDonaldTrump,"MAKE AMERICA GREAT AGAIN!","Sat Nov 05 13:33:10 +0000 2016",44826,89374
realDonaldTrump,"Thank you Hershey, Pennsylvania. Get out &amp; VOTE on November 8th &amp; we will #MAGA! #RallyForRiley 
#ICYMI, watch here… https://t.co/maWukVBTr8","Sat Nov 05 02:52:56 +0000 2016",9533,25606
realDonaldTrump,"Join me in Denver, Colorado tomorrow at 9:30pm!
Tickets: https://t.co/LJYGIK7Mri","Fri Nov 04 23:57:37 +0000 2016",5230,15198
realDonaldTrump,"Join me live in Hershey, Pennsylvania! 
#MakeAmericaGreatAgain 
LIVE: https://t.co/xEj6sZpb12 https://t.co/JWfGI1vlwW","Fri Nov 04 23:50:57 +0000 2016",6203,17741
realDonaldTrump,"The only thing that can stop this corrupt machine is YOU. The only force strong enough to save our country is US.… https://t.co/7dcSHOkuzc","Fri Nov 04 23:31:28 +0000 2016",28453,53398
realDonaldTrump,"Thank you Ohio! VOTE so we can replace Obamacare and save healthcare for every family in the United States! Watch:… https://t.co/7CH8ZnGdOa","Fri Nov 04 23:14:59 +0000 2016",8730,22846
realDonaldTrump,"Join me live in Wilmington, Ohio!
https://t.co/nQ2p4EulLu","Fri Nov 04 20:33:12 +0000 2016",3556,12249
realDonaldTrump,"If Obama worked as hard on straightening out our country as he has trying to protect and elect Hillary, we would all be much better off!","Fri Nov 04 19:07:20 +0000 2016",37546,89246
realDonaldTrump,"'ICE OFFICERS WARN HILLARY IMMIGRATION PLAN WILL UNLEASH GANGS, CARTELS &amp; DRUG VIOLENCE NATIONWIDE'… https://t.co/09aSrBwQrv","Fri Nov 04 18:56:15 +0000 2016",16088,24203
realDonaldTrump,"Thank you NH! We will end illegal immigration, stop the drugs, deport all criminal aliens&amp;save American lives! Watc… https://t.co/uxcazVkb32","Fri Nov 04 18:46:42 +0000 2016",6996,19071
realDonaldTrump,"Clinton Aides: ‘Definitely’ Not Releasing Some HRC Emails:
https://t.co/GY5pGKaDoW","Fri Nov 04 16:28:36 +0000 2016",7677,14752
realDonaldTrump,"RT @TeamTrump: Mrs. Saucier's son is in prison for having classified info on an unsecured device. @HillaryClinton did FAR WORSE &amp; is runnin…","Fri Nov 04 16:26:19 +0000 2016",11415,0
