User,Text,Date,Retweets,Favorites
,,,,
taylorswift13,"RT @ATT: .@TaylorSwift13 fans have a new destination for unique and never seen videos, #TaylorSwiftNOW – coming soon, only on AT&amp;T. https:/…","Mon Nov 28 21:35:41 +0000 2016",9778,0
taylorswift13,"YES @Drake 👍💪✨
#drakevsbenchpress https://t.co/pZCQUaX8Mm","Mon Nov 21 04:09:02 +0000 2016",31283,84540
taylorswift13,"Today is the day. Go out and VOTE 🇺🇸 https://t.co/NdJ0OeiuUH","Tue Nov 08 17:10:36 +0000 2016",27802,120506
taylorswift13,"HI #1 @littlebigtown https://t.co/PYSYDMZlHM","Thu Nov 03 04:23:57 +0000 2016",10662,42498
taylorswift13,"RT @littlebigtown: Watch the #Betterman video now on @Vevo!

https://t.co/5OVIyT6gU0 https://t.co/bYN2l0MVx6","Tue Nov 01 18:34:05 +0000 2016",4245,0
taylorswift13,"Feeling really honored... https://t.co/SlxoWgxBBQ","Tue Nov 01 18:33:40 +0000 2016",12774,48931
taylorswift13,"❤️ https://t.co/TL9xT3Lavj","Mon Oct 10 15:52:58 +0000 2016",19090,72732
taylorswift13,"Thanks @ATT, this is gonna be fun https://t.co/dS0qPTIutF","Tue Oct 04 13:35:49 +0000 2016",14904,54001
taylorswift13,"RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ","Tue Oct 04 13:34:41 +0000 2016",7341,0
taylorswift13,"RT @GraceVanderWaal: Words can not explain how honored  I am for this.. thank. You. SOOOOOOO MUCH!!!! @taylorswift13 https://t.co/KwcvIwGtpq","Sat Sep 17 02:28:43 +0000 2016",19677,0
taylorswift13,"Spending today with my family, thinking of those families who lost someone 15 years ago. We'll always remember. #NeverForget911","Sun Sep 11 18:43:41 +0000 2016",26211,107998
taylorswift13,"RT @AfricanParks: Thank you @TaylorSwift13 for your very generous donation to @AfricanParks on #WorldElephantDay","Sat Aug 13 02:00:04 +0000 2016",8121,0
taylorswift13,"Sending my biggest congratulations to Simone, Aly, Laurie, Gabby and Madison! YOU DID IT GIRLS!! 🇺🇸  #FinalFive","Wed Aug 10 19:48:43 +0000 2016",22584,117336
taylorswift13,"That moment when Kanye West secretly records your phone call, then Kim posts it on the Internet. https://t.co/4GJqdyykQu","Mon Jul 18 04:24:53 +0000 2016",131608,370930
taylorswift13,"With a heavy heart... https://t.co/Dd1M0b7G1P","Fri Jun 17 22:24:10 +0000 2016",31360,102692
taylorswift13,"One of my favorite people in the world turns 30 today! I LOVE YOU @lenadunham ❤️ https://t.co/8DNm1QPLvU","Fri May 13 20:39:06 +0000 2016",21390,104517
taylorswift13,"Dance like no one's watching @AppleMusic @thedarkness
https://t.co/QfX9l0EXX7","Thu May 12 12:37:22 +0000 2016",32791,91841
taylorswift13,"RT @DietCoke: Congratulations @taylorswift13 on the BMI Taylor Swift Award. Here's to two things that never go out of style. https://t.co/z…","Wed May 11 21:42:05 +0000 2016",12778,0
taylorswift13,"Really good times last night. 🎉 https://t.co/CNU16p83MX","Wed May 11 20:14:32 +0000 2016",18887,74828
taylorswift13,"Last night BMI gave me an award called the Taylor Swift Award, which was very nice of them. https://t.co/RKH4NrNOG5","Wed May 11 20:11:47 +0000 2016",22478,76822
taylorswift13,"WOAH thanks @voguemagazine for the cover and Theo Wenner for taking this photo at Met Gala! What a night ✨ https://t.co/b12sYNDR9i","Mon May 09 21:05:26 +0000 2016",20374,80846
taylorswift13,"RT @voguemagazine: Our May cover star @taylorswift13 takes us on a tour of her Beverly Hills home and answers all of our #73Questions: http…","Tue Apr 19 20:04:20 +0000 2016",9181,0
taylorswift13,"Getting ready to go out… @AppleMusic @JimmyEatWorld
https://t.co/vq8LCFOuCO","Mon Apr 18 12:08:50 +0000 2016",30144,76143
taylorswift13,"BLEACHELLA. https://t.co/TwozyjEsgl","Fri Apr 15 20:10:28 +0000 2016",32681,108254
taylorswift13,"Come to the party, they said 
It will be fun, they said https://t.co/9jXvtDljZB","Fri Apr 15 05:50:14 +0000 2016",49622,134458
taylorswift13,"Thank you so much for taking these sick photos and changing up my usual vibessss @mertalasmarcus!! @voguemagazine https://t.co/ztRVVPCcBH","Fri Apr 15 02:10:42 +0000 2016",30707,105020
taylorswift13,"Thank you @jasongay for hanging out with me and @BritMaack at her wedding!! Read his awesome Vogue cover story:https://t.co/CIJWpEyNdW","Fri Apr 15 02:06:48 +0000 2016",12194,43434
taylorswift13,"RT @voguemagazine: This is how the world’s biggest pop star spends her precious downtime: https://t.co/2PtNe8sA8F","Fri Apr 15 02:04:42 +0000 2016",7339,0
taylorswift13,"Thanks @voguemagazine! I love this one. https://t.co/FoNLCNuPFC","Thu Apr 14 16:23:08 +0000 2016",26130,82309
taylorswift13,"RT @JosephKahn: It came! Thank you taylorswift for the new hardware. You are the best home decorator ever :) @… https://t.co/MLO5XlcUbZ","Wed Apr 06 23:55:24 +0000 2016",4731,0
taylorswift13,"The best people in life are free. 

#NewRomantics 
https://t.co/qpp4HneyVX https://t.co/aYZ4iiJgnU","Wed Apr 06 16:44:28 +0000 2016",30119,64636
taylorswift13,"RT @kelly_clarkson: Oh my gosh @taylorswift13 your commercial right now where you fall off the treadmill is pretty much my favorite thing e…","Mon Apr 04 06:21:06 +0000 2016",10331,0
taylorswift13,"What an unbelievable run we've had with 1989. I'm so grateful for all of these memories &amp; all of you. #iHeartAwards https://t.co/zGNnFEg6tZ","Mon Apr 04 06:16:16 +0000 2016",40940,132845
taylorswift13,"RT @selenagomez: #OG 🙌🏼 https://t.co/YAd6oUSd3s","Mon Apr 04 06:00:21 +0000 2016",47629,0
taylorswift13,"RT @jtimberlake: My good friend, Taylor.... Congrats, dear!!! #iHeartAwards https://t.co/uFzYBrXYEv","Mon Apr 04 05:21:49 +0000 2016",15915,0
taylorswift13,"Headed to the #iHeartAwards now!!","Sun Apr 03 23:22:25 +0000 2016",14168,50652
taylorswift13,"RT @troyesivan: .@taylorswift13 @RubyRose https://t.co/kLI4MwToXM","Sun Apr 03 07:38:13 +0000 2016",45779,0
taylorswift13,"Based on true events. #TAYLORvsTREADMILL 
@applemusic @Drake @1Future
https://t.co/ryUY3Yz7Pr
https://t.co/1eIHjoVIFU","Fri Apr 01 12:38:12 +0000 2016",74486,143681
taylorswift13,"RT @austinswift7: Recently realized that in 4 years we'll all be living in ""the twenties""  I'm not mad but a heads-up on that one might've…","Fri Apr 01 04:18:14 +0000 2016",14299,0
taylorswift13,"GROUND YOURSELF.
@austinswift7 https://t.co/mkUQYeto0i","Sun Mar 27 01:38:49 +0000 2016",19721,63560
taylorswift13,"A devastating loss.
@austinswift7 https://t.co/ok021VmIEn","Sun Mar 27 01:25:04 +0000 2016",18071,59789
taylorswift13,"Easter Egg Battles 2016
@austinswift7 https://t.co/Nv85oxoBQj","Sun Mar 27 01:19:56 +0000 2016",19455,58309
taylorswift13,"RT @twitter: Thank you, @taylorswift13 for celebrating love and sharing your stage with us every day. #LoveTwitter
https://t.co/mfkSawqfLK","Tue Mar 22 05:18:57 +0000 2016",11018,0
taylorswift13,"Dogs tho. https://t.co/h0uiMM6JO2","Thu Mar 17 18:52:22 +0000 2016",28871,84737
taylorswift13,"HAPPY BIRTHDAY AUSTIN!!!!!
Thanks for 24 years of LOLs.
@austinswift7 https://t.co/ruTohXcwWO","Fri Mar 11 23:57:32 +0000 2016",25226,93540
taylorswift13,"RT @RWitherspoon: Happy #InternationalWomensDay ladies!!! A little inspiration courtesy @taylorswift13 #IWD2016 🎨@FOXADHD https://t.co/kG8N…","Tue Mar 08 23:11:20 +0000 2016",18949,0
taylorswift13,"So grateful and inspired today!
Take the Pledge For Parity at
https://t.co/nQosDLJSY2
#HappyInternationalWomensDay https://t.co/MkZJfa5I7Y","Tue Mar 08 18:07:58 +0000 2016",15571,41317
taylorswift13,"I feel like we achieved our goal of looking like we're in a new primetime drama series called Family Secrets. https://t.co/O33kRm8VJH","Mon Feb 29 23:42:16 +0000 2016",42657,147301
taylorswift13,"I'm very happy to say the next single from 1989 will be 'New Romantics'.","Sat Feb 20 03:52:59 +0000 2016",82823,187989
taylorswift13,"RT @BindiIrwin: So grateful to have people like @taylorswift13 in the world to share positivity and light. We all need a reminder to stay s…","Fri Feb 19 02:22:04 +0000 2016",9678,0
taylorswift13,"RT @RubyRose: Congratulations @taylorswift13 first you looked amazing, second you performed like a queen and you ended with an on point spe…","Wed Feb 17 14:42:17 +0000 2016",13378,0
taylorswift13,"RT @alexmorgan13: Preach @taylorswift13! It's so great to see strong women using their platform to support and inspire girls and women. #po…","Wed Feb 17 00:11:44 +0000 2016",8712,0
taylorswift13,"RT @AbbyWambach: Amen @taylorswift13 A-effing-men!!!!  #mygoshwhatanacceptancespeech","Wed Feb 17 00:09:22 +0000 2016",5750,0
taylorswift13,"The moment it hits you.
@jackantonoff 
#GRAMMYs https://t.co/cKZDjZ3uWN","Tue Feb 16 23:21:13 +0000 2016",20507,71022
taylorswift13,"RT @jessetyler: I'm channeling my inner @taylorswift13 today. I'm quoting that @TheGRAMMYs speech to anyone who crosses me. https://t.co/bI…","Tue Feb 16 22:40:35 +0000 2016",7058,0
taylorswift13,"Oh what a night. ⭐️ https://t.co/6GXus3xD4s","Tue Feb 16 22:28:16 +0000 2016",54521,139877
taylorswift13,"RT @oliviamunn: High-✋ to @taylorswift13 for her big win last night at The Grammys and for giving a kick ass speech to inspire girls everyw…","Tue Feb 16 22:18:16 +0000 2016",7046,0
taylorswift13,"RT @RWitherspoon: @taylorswift13 Loved your amazing words! Keep encouraging all those young women to write their stories&amp; sing their songs …","Tue Feb 16 06:47:50 +0000 2016",13984,0
taylorswift13,"RT @Mariska: Congrats @taylorswift13 on the #BadBlood big win! #MadLove #VideoOfTheYear #BandaidsDontFixBulletHoles #Grammys","Tue Feb 16 01:56:28 +0000 2016",8870,0
taylorswift13,"@ChrisStapleton I glitter-bomb because I care.","Tue Feb 16 01:48:04 +0000 2016",10179,28909
taylorswift13,"@TheGRAMMYs @edsheeran YES.","Mon Feb 15 23:45:51 +0000 2016",16458,34877
taylorswift13,"RT @TheGRAMMYs: Congratulations to @EdSheeran for his first GRAMMY win on #GRAMMYLive. #GRAMMYs https://t.co/nNifrCUeGm https://t.co/NNA3nK…","Mon Feb 15 23:45:36 +0000 2016",32462,0
taylorswift13,"Bad Blood just won a Grammy for Best Music Video and we are not ok.
@selenagomez https://t.co/EquWAq0UPg","Mon Feb 15 22:38:11 +0000 2016",86763,174178
taylorswift13,"RT @TheGRAMMYs: Congrats Best Music Video @taylorswift13 ft. @kendricklamar - ""Bad Blood"" #GRAMMYs","Mon Feb 15 22:35:40 +0000 2016",24157,0
taylorswift13,"RT @imogenheap: Heading to @designindaba now via LHR. Almost 2 years ago @taylorswift13 and I made #clean together. Good luck @TheGRAMMYs t…","Mon Feb 15 21:44:29 +0000 2016",5180,0
taylorswift13,"RT @jackantonoff: 1989 just won pop vocal album!!!! accepted it with t on the phone :) albums made in small apartments win grammys. into it…","Mon Feb 15 21:04:10 +0000 2016",11579,0
taylorswift13,"RT @TheGRAMMYs: .@taylorswift13 calls in (w/@jackantonoff's help) to accept the 1st award at #GRAMMYPremiere https://t.co/9AgLqgsWb5 https:…","Mon Feb 15 20:56:37 +0000 2016",9716,0
taylorswift13,"@TheGRAMMYs I AM SCREAMING","Mon Feb 15 20:44:18 +0000 2016",24445,43748
taylorswift13,"RT @TheGRAMMYs: Congrats Best Pop Vocal Album @taylorswift13 - '1989' #GRAMMYs https://t.co/6gqbPR2JmW","Mon Feb 15 20:42:57 +0000 2016",35538,0
taylorswift13,"RT @TheGRAMMYs: Today's the day! 🎉 #WitnessGreatness at the 58th #GRAMMYs tonight on @CBS at 8PM ET/5PM PT https://t.co/D8SqfZrK4h","Mon Feb 15 15:14:08 +0000 2016",9512,0
